nama_schema,nama_tabel,nama_kolom,nama_relasi,schema_tujuan,tabel_tujuan,kolom_tujuan
simgos,discharge_planning_screenings,visit_id,discharge_planning_screenings_visit_id_foreign,simgos,visits,id
simgos,discharge_summaries,admission_diagnosis_id,discharge_summaries_admission_diagnosis_id_foreign,simgos,diagnoses,id
simgos,discharge_summaries,authored_by,discharge_summaries_authored_by_foreign,simgos,employees,id
simgos,discharge_summaries,discharge_diagnosis_id,discharge_summaries_discharge_diagnosis_id_foreign,simgos,diagnoses,id
simgos,discharge_summaries,visit_id,discharge_summaries_visit_id_foreign,simgos,visits,id
simgos,doctor_discounts,discount_id,doctor_discounts_discount_id_foreign,simgos,discounts,id
simgos,doctor_discounts,employee_id,doctor_discounts_employee_id_foreign,simgos,employees,id
simgos,doctor_medical_departments,doctor_id,doctor_medical_departments_doctor_id_foreign,simgos,doctors,id
simgos,doctor_medical_departments,medical_department_id,doctor_medical_departments_medical_department_id_foreign,simgos,medical_departments,id
simgos,doctor_procedure_consents,doctor_id,doctor_procedure_consents_doctor_id_foreign,simgos,doctors,id
simgos,doctor_procedure_consents,visit_id,doctor_procedure_consents_visit_id_foreign,simgos,visits,id
simgos,doctor_ward_assignments,doctor_id,doctor_ward_assignments_doctor_id_foreign,simgos,doctors,id
simgos,doctor_ward_assignments,ward_id,doctor_ward_assignments_ward_id_foreign,simgos,wards,id
simgos,doctors,employee_id,doctors_employee_id_foreign,simgos,employees,id
simgos,document_uploads,patient_id,document_uploads_patient_id_foreign,simgos,patients,id
simgos,document_uploads,visit_id,document_uploads_visit_id_foreign,simgos,visits,id
simgos,edc_transactions,payment_id,edc_transactions_payment_id_foreign,simgos,payments,id
simgos,emergency_educations,educator_id,emergency_educations_educator_id_foreign,simgos,employees,id
simgos,emergency_educations,visit_id,emergency_educations_visit_id_foreign,simgos,visits,id
simgos,employee_contacts,employee_id,employee_contacts_employee_id_foreign,simgos,employees,id
simgos,employee_identity_cards,employee_id,employee_identity_cards_employee_id_foreign,simgos,employees,id
simgos,employee_photos,employee_id,employee_photos_employee_id_foreign,simgos,employees,id
simgos,employees,smf_id,employees_smf_id_foreign,simgos,medical_departments,id
simgos,end_of_life_educations,educator_id,end_of_life_educations_educator_id_foreign,simgos,employees,id
simgos,end_of_life_educations,visit_id,end_of_life_educations_visit_id_foreign,simgos,visits,id
simgos,end_of_life_psychosocial_relationships,assessed_by,end_of_life_psychosocial_relationships_assessed_by_foreign,simgos,employees,id
simgos,end_of_life_psychosocial_relationships,visit_id,end_of_life_psychosocial_relationships_visit_id_foreign,simgos,visits,id
simgos,episode_closure_outboxes,registration_id,episode_closure_outboxes_registration_id_foreign,simgos,registrations,id
simgos,episode_closure_sync_attempts,operation_id,episode_sync_attempt_operation_fk,simgos,episode_closure_sync_operations,id
simgos,episode_closure_sync_operations,episode_closure_outbox_id,episode_sync_op_outbox_fk,simgos,episode_closure_outboxes,id
simgos,examination_group_mappings,examination_group_id,examination_group_mappings_examination_group_id_foreign,simgos,examination_groups,id
simgos,examination_result_statuses,verified_by,examination_result_statuses_verified_by_foreign,simgos,employees,id
simgos,examination_result_statuses,visit_id,examination_result_statuses_visit_id_foreign,simgos,visits,id
simgos,external_risk_factors,recorded_by,external_risk_factors_recorded_by_foreign,simgos,employees,id
simgos,external_risk_factors,visit_id,external_risk_factors_visit_id_foreign,simgos,visits,id
simgos,eye_exam_document_uploads,doctor_id,eye_exam_document_uploads_doctor_id_foreign,simgos,doctors,id
simgos,eye_exam_document_uploads,patient_id,eye_exam_document_uploads_patient_id_foreign,simgos,patients,id
simgos,eye_exam_document_uploads,visit_id,eye_exam_document_uploads_visit_id_foreign,simgos,visits,id
simgos,facility_memberships,facility_id,facility_memberships_facility_id_foreign,simgos,institutions,id
simgos,family_medical_histories,visit_id,family_medical_histories_visit_id_foreign,simgos,visits,id
simgos,fibroscan_results,examined_by,fibroscan_results_examined_by_foreign,simgos,employees,id
simgos,fibroscan_results,visit_id,fibroscan_results_visit_id_foreign,simgos,visits,id
simgos,final_result_cancellations,visit_id,final_result_cancellations_visit_id_foreign,simgos,visits,id
simgos,fluid_balance_assessment_details,fluid_balance_assessment_id,fk_fbad_assessment_id,simgos,fluid_balance_assessments,id
simgos,fluid_final_balances,recorded_by,fluid_final_balances_recorded_by_foreign,simgos,employees,id
simgos,fluid_final_balances,visit_id,fluid_final_balances_visit_id_foreign,simgos,visits,id
simgos,functional_assessments,assessed_by,functional_assessments_assessed_by_foreign,simgos,employees,id
simgos,functional_assessments,visit_id,functional_assessments_visit_id_foreign,simgos,visits,id
simgos,functional_status_assessments,assessed_by,functional_status_assessments_assessed_by_foreign,simgos,employees,id
simgos,functional_status_assessments,visit_id,functional_status_assessments_visit_id_foreign,simgos,visits,id
